Model,brand,variant,mfg,km_drvn,fuel,mileage,engine,max_pwr,torque,owner,transmission,location,Price
Maruti Ciaz,Maruti,ZXi Plus,2015,80000,Petrol,20.73,1373,91.1,130,First Owner,Manual,Goa,700000
Hyundai i20 Active,Hyundai,1.2 SX,2017,120000,Petrol,17.19,1197,81.86,114.73,Second Owner,Manual,Goa,535000
Mercedes-Benz E-Class,Mercedes,E350 CDI Avantgarde,2010,142000,Diesel,11.5,2987,210,490,First Owner,Automatic,Goa,2400000
Hyundai Getz,Hyundai,1.1 GVS (Rear Spoiler),2009,110000,Petrol,12.3,1086,66.6,10.4,First Owner,Automatic,Goa,200000
Volkswagen Vento,Volkswagen,Diesel Highline,2011,100000,Diesel,20.54,1598,103.6,250,First Owner,Manual,Goa,385000
Volkswagen Vento,Volkswagen,1.2 Highline Plus AT 16 Alloy,2018,29443,Petrol,18.19,1197,103.5,175,First Owner,Automatic,Goa,900000
Tata Aria,Tata,Pleasure 4x2,2012,110000,Diesel,13.7,2179,138.1,320,Second Owner,Manual,Goa,330000
Hyundai Grand i10,Hyundai,1.2 Kappa Asta,2019,60000,Petrol,18.9,1197,81.86,113.75,First Owner,Manual,Goa,550000
Ford Figo,Ford,Diesel ZXI,2011,110000,Diesel,20,1399,68,160,First Owner,Manual,Goa,300000
Tata Indica,Tata,DLS,2007,120000,Diesel,17.2,1396,53.5,8.5,Second Owner,Manual,Goa,40000
Volkswagen Polo,Volkswagen,GT TSI,2014,116419,Petrol,17.21,1197,103.6,175,First Owner,Automatic,Goa,550000
Hyundai Grand i10 Nios,Hyundai,Asta,2019,40000,Petrol,20.7,1197,81.86,113.75,First Owner,Manual,Goa,700000
Mercedes-Benz New C-Class,Mercedes,200 CDI Classic,2010,110000,Diesel,15.8,2148,170,42,Second Owner,Manual,Goa,575000
Chevrolet Sail,Chevrolet,1.2 LT ABS,2013,55000,Petrol,18.2,1199,82.4,108.5,Second Owner,Manual,Goa,250000
Renault KWID,Renault,RXT,2018,67000,Petrol,25.17,799,53.3,72,First Owner,Manual,Goa,310000
Mitsubishi Outlander,Mitsubishi,2.4,2012,60000,Petrol,11.3,2360,170,226,First Owner,Automatic,Goa,725000
Tata Tiago,Tata,XZ,2020,40000,Petrol,23.84,1199,83.83,114,First Owner,Manual,Goa,525000
Ford Figo,Ford,Petrol Titanium,2010,50000,Petrol,15.6,1196,70,102,First Owner,Manual,Goa,150000
Tata Indica,Tata,DLS,2007,60000,Diesel,17.2,1396,53.5,8.5,Second Owner,Manual,Goa,75000
Nissan Micra,Nissan,XV CVT,2013,65000,Petrol,19.34,1198,76,104,First Owner,Automatic,Goa,350000
Maruti Wagon R,Maruti,VXI BS IV,2017,33426,Petrol,20.51,998,67.04,90,First Owner,Manual,Goa,400000
Hyundai Santro Xing,Hyundai,XK eRLX Euro II,2007,150000,Petrol,17.8,1086,63,9.8,Third Owner,Manual,Goa,110000
Nissan Sunny,Nissan,XV,2012,50000,Petrol,16.95,1498,97.7,134,Second Owner,Manual,Goa,250000
Ford Figo,Ford,Diesel EXI Option,2012,143000,Diesel,18.5,1399,68,160,First Owner,Manual,Goa,190000
Maruti Wagon R,Maruti,LXI Minor,2007,300000,Petrol,18.9,1061,67,84,First Owner,Manual,Goa,100000
Maruti Wagon R,Maruti,LXI Optional,2015,35000,Petrol,20.51,998,67.04,90,First Owner,Manual,Goa,320000
Ford Fiesta,Ford,1.4 Duratec EXI,2006,70000,Petrol,16.6,1388,68,16.3,Second Owner,Manual,Goa,185000
Skoda Rapid,Skoda,1.5 TDI Ambition BSIV,2018,50000,Diesel,21.13,1498,108.6,250,Second Owner,Manual,Goa,850000
Maruti Vitara Brezza,Maruti,VDi,2017,60000,Diesel,24.3,1248,88.5,200,First Owner,Manual,Goa,700000
Maruti Wagon R,Maruti,VXI BS IV,2011,50000,Petrol,18.9,998,67.1,90,Second Owner,Manual,Goa,280000
Maruti Swift,Maruti,LXI,2013,149000,Petrol,18.6,1197,85.8,114,Second Owner,Manual,Goa,370000
Hyundai Grand i10,Hyundai,1.2 Kappa Asta,2017,20000,Petrol,18.9,1197,81.86,113.75,First Owner,Manual,Goa,550000
Hyundai i20,Hyundai,Asta 1.2,2015,46862,Petrol,18.6,1197,81.83,114.7,First Owner,Manual,Goa,470000
Skoda Rapid,Skoda,1.6 TDI Active,2013,120000,Diesel,20.5,1598,103.5,250,First Owner,Manual,Goa,275000
Maruti Wagon R,Maruti,VXI BS IV,2015,50000,Petrol,20.51,998,67.04,90,First Owner,Manual,Goa,350000
Chevrolet Spark,Chevrolet,1.0 LT,2011,90000,Petrol,18,995,62,90.3,First Owner,Manual,Goa,85000
BMW X3,BMW,xDrive20d,2012,165000,Diesel,16.09,1995,184,380,First Owner,Automatic,Goa,1220000
Volkswagen Polo,Volkswagen,ALLSTAR 1.2 MPI,2016,60000,Petrol,16.47,1198,74,110,First Owner,Manual,Goa,450000
Mahindra XUV500,Mahindra,W8 2WD,2012,90000,Diesel,15.1,2179,140,330,First Owner,Manual,Goa,600000
Renault Triber,Renault,RXL,2020,18000,Petrol,20,999,71,96,First Owner,Manual,Goa,600000
Audi Q7,Audi,3.0 TDI Quattro Technology,2012,111709,Diesel,12.07,2967,241.4,550,First Owner,Automatic,Goa,1500000
Maruti Celerio,Maruti,VXI AT,2015,50000,Petrol,23.1,998,67.04,90,First Owner,Automatic,Goa,350000
Mahindra Thar,Mahindra,CRDe AC,2012,40000,Diesel,16.55,2498,105,247,First Owner,Manual,Goa,530000
Honda City,Honda,1.5 GXI,2005,100000,Petrol,17,1400,117.3,145,Third Owner,Manual,Goa,100000
Volkswagen Vento,Volkswagen,IPL II Petrol Highline,2011,70000,Petrol,15.8,1598,105,153,First Owner,Manual,Goa,220000
Maruti Baleno,Maruti,Zeta,2020,5000,Petrol,21.01,1197,81.8,113,First Owner,Manual,Goa,750000
